,car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
151,volkswagen vento,2013,diesel,192715,noida,sedan,manual,1,443076.0,False,377799
152,toyota corolla altis,2014,petrol,134937,noida,luxury sedan,manual,1,910742.0,False,751399
153,audi q3,2013,diesel,114155,noida,luxury suv,automatic,2,1194051.0,False,1072517
155,audi a6,2013,diesel,107465,noida,luxury sedan,automatic,2,1532278.0,False,1202706
156,toyota fortuner,2013,diesel,154297,noida,luxury suv,automatic,1,1510690.0,False,1213917
159,maruti swift,2015,petrol,27191,noida,hatchback,manual,1,467108.0,False,365799
160,maruti alto 800,2017,petrol,15581,noida,hatchback,manual,1,270886.0,False,257699
161,maruti swift dzire,2011,petrol,15248,noida,sedan,manual,1,313774.0,False,254299
163,mahindra scorpio,2013,diesel,34861,noida,suv,manual,1,515799.0,False,506799
164,maruti swift,2019,petrol,9218,noida,hatchback,manual,1,585975.0,False,568299
165,hyundai grand i10,2019,petrol,7794,noida,hatchback,manual,1,521330.0,False,513399
167,maruti swift,2013,diesel,45994,noida,hatchback,manual,1,413218.0,False,356099
168,hyundai i10,2010,petrol,55388,noida,hatchback,manual,2,240138.0,False,190499
170,maruti ritz,2011,petrol,41762,noida,hatchback,manual,1,258745.0,False,239399
171,mahindra tuv300,2016,diesel,37219,noida,suv,automatic,1,663747.0,False,551499
173,honda city,2014,petrol,48845,noida,sedan,manual,1,695780.0,False,530499
175,honda amaze,2017,petrol,37426,noida,sedan,manual,1,570501.0,False,450999
176,renault kwid,2018,petrol,31537,noida,hatchback,manual,1,285382.0,False,283999
177,hyundai i10,2010,petrol,68453,noida,hatchback,manual,1,203120.0,False,174499
179,hyundai xcent,2014,diesel,68235,noida,sedan,manual,2,295362.0,False,275699
180,maruti swift dzire,2013,diesel,67411,noida,sedan,manual,1,344698.0,False,271499
182,maruti ritz,2009,petrol,48907,noida,hatchback,manual,1,203068.0,False,189299
184,hyundai i20,2009,petrol,86251,noida,hatchback,manual,2,241839.0,False,175299
185,maruti alto,2019,petrol & cng,50244,noida,hatchback,manual,2,381015.0,False,313399
186,maruti alto k10,2014,petrol & cng,70930,noida,hatchback,manual,1,282252.0,False,274799
187,maruti wagon r 1.0,2012,petrol & cng,83630,noida,hatchback,manual,1,219657.0,False,218899
188,hyundai verna,2018,diesel,38712,noida,sedan,automatic,1,1190183.0,False,949499
189,maruti vitara brezza,2017,diesel,39663,noida,suv,manual,1,869580.0,False,732399
190,hyundai verna,2017,diesel,38307,noida,sedan,manual,1,773687.0,False,747999
191,mahindra tuv300,2015,diesel,71692,noida,suv,automatic,2,715850.0,False,579599
193,maruti ertiga,2012,diesel,89257,noida,suv,manual,1,510511.0,False,419599
194,hyundai elite i20,2018,petrol & cng,42277,noida,hatchback,manual,1,539287.0,False,523699
195,maruti vitara brezza,2018,diesel,28572,noida,suv,manual,1,981835.0,False,780799
196,ford ecosport,2018,petrol,11844,noida,suv,manual,1,844852.0,False,791199
197,maruti ertiga,2012,diesel,81227,noida,suv,manual,2,432822.0,False,380599
198,hyundai verna,2012,diesel,84027,noida,sedan,manual,2,292134.0,False,283299
201,honda city,2014,diesel,74867,noida,sedan,manual,2,516724.0,False,514499
202,honda civic,2010,petrol,86619,noida,sedan,automatic,2,325340.0,False,273199
203,maruti swift,2009,petrol,89564,noida,hatchback,manual,2,229653.0,False,177099
204,hyundai verna,2014,diesel,75854,noida,sedan,manual,1,621346.0,False,488299
205,honda brio,2014,petrol,76938,noida,hatchback,manual,1,349618.0,False,273899
207,mercedes benz cla class,2016,diesel,19492,noida,luxury sedan,manual,2,2085889.0,False,2055348
208,maruti baleno,2016,diesel,81175,noida,hatchback,manual,1,681350.0,False,538099
209,hyundai i10,2012,petrol,88696,noida,hatchback,manual,1,261543.0,False,200799
210,honda amaze,2018,diesel,56926,noida,sedan,manual,1,727418.0,False,569899
211,maruti ciaz,2018,diesel,57860,noida,sedan,manual,1,982967.0,False,770199
212,mahindra kuv100,2016,diesel,99569,noida,suv,manual,1,326710.0,False,266299
215,maruti alto,2009,petrol & cng,109466,noida,hatchback,manual,2,149393.0,False,105999
216,audi a3,2016,petrol,76749,noida,luxury sedan,automatic,1,2053200.0,False,1663670
217,maruti swift dzire,2013,petrol,95093,noida,sedan,manual,1,379281.0,False,288599
220,honda city,2014,petrol,93529,noida,sedan,manual,2,541693.0,True,478899
222,hyundai i10,2013,petrol,93866,noida,hatchback,manual,1,293378.0,False,234299
225,maruti swift,2014,petrol & cng,104448,noida,hatchback,manual,1,418624.0,False,314999
226,toyota fortuner,2012,diesel,169704,noida,luxury suv,manual,1,1359937.0,False,1089687
227,honda city,2015,petrol,147944,noida,sedan,manual,2,568889.0,False,554899
230,hyundai i20,2013,petrol,29656,noida,hatchback,manual,1,430359.0,False,339299
231,honda brio,2012,petrol,48415,noida,hatchback,manual,1,275320.0,False,199499
232,honda amaze,2019,petrol,5906,noida,sedan,manual,1,593482.0,False,581299
233,hyundai santro xing,2014,petrol,45361,noida,hatchback,manual,1,339367.0,False,265899
235,renault kwid,2017,petrol,29238,noida,hatchback,manual,1,388983.0,False,301499
236,maruti swift dzire,2014,diesel,27619,noida,sedan,manual,1,609475.0,False,481099
237,maruti baleno,2019,petrol,5631,noida,hatchback,manual,1,779212.0,False,602799
238,maruti swift,2018,petrol,11550,noida,hatchback,manual,1,667508.0,False,537399
239,maruti dzire,2018,petrol,24883,noida,sedan,manual,1,731634.0,False,563999
240,renault kwid,2016,petrol,31898,noida,hatchback,manual,1,300952.0,False,245999
241,datsun redi go,2017,petrol,21259,noida,hatchback,manual,1,271963.0,False,233399
242,maruti sx4,2008,petrol,50292,noida,sedan,manual,2,167036.0,False,128299
243,renault kwid,2016,petrol,44946,noida,hatchback,manual,1,324451.0,False,248699
244,tata nano,2015,petrol,42878,noida,hatchback,manual,1,154745.0,False,152399
246,hyundai creta,2015,petrol,27144,noida,suv,manual,1,999716.0,False,802499
247,maruti baleno,2018,petrol,28594,noida,hatchback,manual,1,786657.0,False,624399
248,mahindra thar,2018,diesel,22800,noida,suv,manual,2,977079.0,False,764399
249,maruti swift dzire,2015,petrol,57988,noida,sedan,manual,1,486705.0,False,393799
251,chevrolet beat,2013,diesel,136954,noida,hatchback,manual,1,164999.0,False,157999
252,maruti dzire,2018,diesel,52916,noida,sedan,manual,1,705613.0,False,558599
253,maruti ertiga,2014,diesel,72120,noida,suv,manual,1,655064.0,False,529099
255,toyota fortuner,2015,diesel,59372,noida,luxury suv,manual,1,1838519.0,False,1502599
257,toyota innova,2013,diesel,80307,noida,suv,manual,1,885331.0,False,691399
258,mahindra scorpio,2019,diesel,41908,noida,suv,manual,2,1597369.0,False,1307948
259,hyundai elite i20,2016,diesel,105733,noida,hatchback,manual,1,610832.0,False,469399
261,maruti wagon r 1.0,2016,petrol & cng,74429,noida,hatchback,manual,1,325520.0,False,276299
262,maruti ertiga,2013,diesel,191884,noida,suv,manual,1,506291.0,False,441199
278,maruti alto k10,2017,petrol,11976,gurgaon,hatchback,manual,1,391940.0,False,323999
280,maruti baleno,2016,petrol,20092,gurgaon,hatchback,manual,1,587400.0,False,499499
282,maruti alto k10,2010,petrol,41190,gurgaon,hatchback,manual,1,242925.0,False,183599
286,maruti alto,2010,petrol,47182,gurgaon,hatchback,manual,1,200043.0,False,158599
287,honda city,2011,petrol,61632,gurgaon,sedan,manual,1,356538.0,False,343099
289,hyundai grand i10,2013,petrol,40273,gurgaon,hatchback,manual,1,366899.0,False,350099
293,honda amaze,2017,petrol,23274,gurgaon,sedan,manual,1,533899.0,False,520199
294,maruti alto 800,2018,petrol,27886,gurgaon,hatchback,manual,1,369510.0,False,289299
298,hyundai verna,2012,diesel,48288,gurgaon,sedan,manual,1,500914.0,False,410499
299,hyundai grand i10,2017,petrol,43373,gurgaon,hatchback,manual,2,396800.0,False,368699
302,hyundai grand i10,2016,petrol,43120,gurgaon,hatchback,manual,1,414424.0,False,401299
304,honda brio,2013,petrol,56137,gurgaon,hatchback,manual,1,323331.0,False,251499
307,renault kwid,2017,petrol,38245,gurgaon,hatchback,manual,2,232866.0,False,229499
308,maruti swift,2015,diesel,52490,gurgaon,hatchback,manual,1,526496.0,False,424499
309,hyundai i10,2009,petrol,53021,gurgaon,hatchback,manual,1,214760.0,False,173899
312,hyundai grand i10,2016,petrol,60011,gurgaon,hatchback,manual,1,406750.0,False,394299
313,maruti wagon r 1.0,2017,petrol,51476,gurgaon,hatchback,manual,1,317400.0,False,308199
316,toyota etios liva,2014,diesel,59700,gurgaon,hatchback,manual,2,404633.0,False,386999
319,maruti alto 800,2014,petrol,31745,gurgaon,hatchback,manual,1,277799.0,False,266399
320,maruti swift,2015,diesel,63435,gurgaon,hatchback,manual,1,534128.0,False,446199
322,maruti ciaz,2016,petrol,47218,gurgaon,sedan,manual,1,548500.0,False,547199
323,maruti celerio,2014,petrol,43574,gurgaon,hatchback,manual,1,358143.0,False,307299
324,maruti swift,2015,diesel,66476,gurgaon,hatchback,manual,1,456560.0,False,401299
326,maruti swift,2019,petrol,14775,gurgaon,hatchback,automatic,1,630699.0,False,630599
328,hyundai i10,2011,petrol,45122,gurgaon,hatchback,manual,3,256714.0,False,232999
329,honda city,2016,petrol,56403,gurgaon,sedan,manual,1,696694.0,True,580899
330,maruti vitara brezza,2017,diesel,27711,gurgaon,suv,manual,1,784833.0,False,739899
331,maruti swift,2009,petrol,79226,gurgaon,hatchback,manual,1,213413.0,False,198799
334,hyundai i10,2011,petrol,73453,gurgaon,hatchback,manual,1,270330.0,False,221699
338,honda city,2016,diesel,51803,gurgaon,sedan,manual,2,598403.0,False,574899
340,maruti swift,2007,petrol,95040,gurgaon,hatchback,manual,1,185745.0,False,149199
342,maruti baleno,2016,petrol,43864,gurgaon,hatchback,manual,1,495000.0,False,486899
346,maruti vitara brezza,2018,diesel,14337,gurgaon,suv,automatic,1,1042014.0,False,1010806
351,maruti vitara brezza,2018,diesel,21843,gurgaon,suv,manual,2,833470.0,False,783599
352,maruti vitara brezza,2018,diesel,17350,gurgaon,suv,automatic,1,974525.0,False,921299
355,maruti vitara brezza,2019,diesel,26930,gurgaon,suv,manual,1,985423.0,False,796099
357,maruti swift,2014,diesel,79144,gurgaon,hatchback,manual,1,449346.0,False,381099
358,maruti swift,2013,diesel,68546,gurgaon,hatchback,manual,1,369999.0,False,353499
360,maruti swift,2015,diesel,70952,gurgaon,hatchback,manual,1,546600.0,False,446499
363,honda jazz,2016,petrol,84427,gurgaon,hatchback,manual,1,507260.0,False,435399
364,toyota etios,2011,diesel,114464,gurgaon,sedan,manual,1,307028.0,False,235099
365,toyota innova,2012,diesel,78059,gurgaon,suv,manual,1,621403.0,True,549699
367,maruti s cross,2015,diesel,85657,gurgaon,suv,manual,1,512915.0,False,429599
369,maruti swift,2014,diesel,83368,gurgaon,hatchback,manual,1,389000.0,False,360999
370,honda amaze,2014,petrol,86132,gurgaon,sedan,automatic,1,397631.0,False,390399
371,hyundai verna,2018,diesel,40585,gurgaon,sedan,automatic,2,971575.0,False,917999
372,honda city,2009,petrol,99003,gurgaon,sedan,manual,2,302880.0,False,258599
373,maruti swift,2015,petrol,73411,gurgaon,hatchback,manual,1,434736.0,False,342399
374,mahindra tuv300,2015,diesel,74165,gurgaon,suv,automatic,1,668280.0,False,530399
375,maruti swift,2012,diesel,89809,gurgaon,hatchback,manual,1,305495.0,False,292199
376,hyundai i20,2012,diesel,98304,gurgaon,hatchback,manual,1,346396.0,False,253699
377,volkswagen ameo,2016,diesel,84113,gurgaon,sedan,manual,1,500245.0,False,448699
380,maruti ciaz,2017,diesel,70268,gurgaon,sedan,manual,1,734314.0,False,579799
381,ford ecosport,2016,diesel,87720,gurgaon,suv,manual,3,514674.0,False,502599
386,hyundai creta,2017,diesel,60967,gurgaon,suv,automatic,2,982267.0,False,975299
387,hyundai elite i20,2015,diesel,82388,gurgaon,hatchback,manual,1,542932.0,True,489199
388,maruti swift dzire,2012,diesel,90249,gurgaon,sedan,manual,1,326799.0,False,326399
389,maruti ritz,2012,petrol,93626,gurgaon,hatchback,manual,1,230564.0,False,203399
391,maruti swift,2013,diesel,84308,gurgaon,hatchback,manual,2,362820.0,False,319599
394,maruti ciaz,2015,diesel,81692,gurgaon,sedan,manual,2,494101.0,False,474599
396,maruti swift,2013,diesel,82786,gurgaon,hatchback,manual,2,343573.0,False,264299
397,toyota camry,2016,petrol,80252,gurgaon,luxury sedan,manual,1,1593500.0,False,1591960
398,maruti swift dzire,2012,diesel,106913,gurgaon,sedan,manual,2,294630.0,False,276399
399,maruti swift,2013,diesel,90030,gurgaon,hatchback,manual,1,398540.0,False,319199
402,maruti swift,2014,diesel,97711,gurgaon,hatchback,manual,1,383361.0,False,368799
