,car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
198,7,2018,2,6193,bengaluru,0.0,,1,502782.0,2,409199
199,7,2008,2,48435,hyderabad,0.0,,2,247699.0,2,246199
200,7,2013,4,30011,bengaluru,1.0,0.0,1,656834.0,1,517499
201,12,2013,2,68210,mumbai,1.0,1.0,1,,2,401000
202,9,2019,2,21863,ahmedabad,1.0,,1,751634.0,2,625799
203,7,2018,4,55960,bengaluru,2.0,0.0,1,803015.0,2,788399
204,7,2014,1,82605,pune,0.0,0.0,2,,2,244499
205,6,2018,2,24872,chennai,0.0,0.0,1,432704.0,2,364899
206,8,2008,2,78054,hyderabad,0.0,0.0,1,284119.0,2,235999
207,7,2014,1,39790,pune,2.0,0.0,1,,2,371599
208,7,2014,2,241014,ghaziabad,1.0,0.0,1,410325.0,2,315299
209,8,2020,2,2259,bengaluru,0.0,,1,,2,766099
210,6,2018,2,21973,ahmedabad,0.0,0.0,1,390904.0,2,325299
211,8,2014,2,39007,ahmedabad,0.0,0.0,1,499745.0,2,432099
212,7,2009,2,90418,new delhi,1.0,0.0,1,246394.0,2,209599
213,12,2017,4,49616,chennai,1.0,1.0,1,927427.0,2,773199
214,7,2018,4,44813,ahmedabad,2.0,0.0,1,996189.0,2,803399
215,8,2015,2,10520,bengaluru,0.0,0.0,1,557838.0,2,557099
216,8,2012,2,66327,ahmedabad,0.0,0.0,1,,2,196999
217,7,2018,2,9861,bengaluru,0.0,,1,437099.0,2,436999
218,7,2009,2,58959,bengaluru,0.0,0.0,2,201999.0,2,201899
219,7,2019,2,5115,noida,1.0,0.0,1,638936.0,2,625199
220,5,2014,4,64628,faridabad,2.0,0.0,1,,2,500000
221,7,2019,2,27799,ahmedabad,0.0,0.0,1,401089.0,2,338099
222,12,2016,2,95987,hyderabad,0.0,0.0,1,552699.0,2,552599
223,9,2014,2,72201,new delhi,1.0,0.0,1,443004.0,2,371499
224,7,2010,2,56095,bengaluru,0.0,0.0,1,,2,240599
225,8,2017,2,10754,pune,0.0,0.0,1,644322.0,2,637399
226,8,2017,2,71494,new delhi,0.0,0.0,1,406310.0,2,386599
227,7,2018,1,52420,new delhi,2.0,0.0,1,,1,380000
228,8,2012,4,138000,gurgaon,0.0,0.0,1,,2,264199
229,8,2009,2,101931,hyderabad,0.0,0.0,2,224399.0,2,221899
230,6,2016,2,57111,new delhi,0.0,0.0,1,,2,251299
231,9,2017,2,23780,mumbai,2.0,0.0,1,742945.0,2,723199
232,7,2014,4,116278,bengaluru,2.0,0.0,2,614585.0,2,593599
233,7,2011,2,74518,new delhi,0.0,0.0,1,,2,218899
234,9,2016,4,40746,mumbai,2.0,0.0,1,,2,775000
235,8,2013,2,57900,new delhi,0.0,0.0,1,330499.0,2,324199
236,9,2013,2,91004,mumbai,1.0,0.0,1,,2,380699
237,8,2018,2,11962,hyderabad,0.0,0.0,1,807864.0,2,659499
238,7,2013,2,41967,bengaluru,0.0,0.0,3,,2,249299
239,16,2008,4,182406,pune,2.0,0.0,2,,2,391999
240,16,2011,2,156589,new delhi,1.0,0.0,1,210599.0,2,207499
241,7,2018,2,3783,mumbai,2.0,,1,906001.0,2,882599
242,7,2020,2,6679,noida,0.0,0.0,1,813742.0,2,622999
243,12,2016,2,17430,bengaluru,0.0,1.0,2,773830.0,2,772499
244,7,2015,2,12593,bengaluru,0.0,,2,,2,394199
245,8,2015,2,91984,hyderabad,1.0,0.0,1,489584.0,2,421099
246,16,2013,4,287219,gurgaon,2.0,0.0,1,,2,676699
247,7,2012,2,64259,hyderabad,0.0,0.0,1,304510.0,2,252199
248,8,2011,2,62904,bengaluru,0.0,0.0,1,,2,387599
249,7,2011,2,68153,bengaluru,0.0,0.0,2,,2,241799
250,7,2012,1,47729,mumbai,0.0,0.0,1,,2,289699
251,8,2011,2,18974,mumbai,0.0,0.0,1,,2,359199
252,8,2011,2,123568,pune,0.0,0.0,2,,2,290699
253,8,2018,2,1827,mumbai,1.0,1.0,1,1187354.0,2,1182304
254,7,2015,2,30242,pune,0.0,0.0,1,263010.0,2,257499
255,7,2008,1,64425,pune,0.0,0.0,2,,2,199999
256,8,2016,2,2751,mumbai,0.0,0.0,1,477138.0,2,469999
257,9,2012,2,59949,mumbai,0.0,0.0,2,336599.0,2,335099
258,8,2013,2,25052,ahmedabad,0.0,0.0,1,250687.0,2,238299
259,7,2010,1,34181,ghaziabad,0.0,0.0,1,,2,199199
260,7,2010,4,160205,pune,1.0,0.0,2,309311.0,2,280799
261,7,2017,4,110111,new delhi,1.0,0.0,1,,2,467399
