car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,sale_price
hyundai,2016,petrol,61582,noida,suv,manual,2,837780,720299
mahindra,2016,diesel,61330,noida,suv,manual,2,1272552,1030804
ford,2012,diesel,58699,noida,hatchback,manual,1,,233099
maruti,2009,petrol,96354,noida,hatchback,manual,2,262687,239299
mitsubishi,2009,petrol,95127,noida,luxury suv,manual,3,331199,307099
hyundai,2014,diesel,81676,noida,sedan,manual,1,643090,520499
hyundai,2014,diesel,84334,noida,sedan,manual,1,608343,510699
volkswagen,2017,diesel,73768,noida,sedan,manual,1,509599,486299
maruti,2010,petrol,65057,noida,hatchback,manual,1,,208999
maruti,2012,petrol,89988,noida,hatchback,manual,2,,206399
maruti,2016,petrol & cng,100780,noida,hatchback,manual,2,,358299
honda,2013,petrol,90659,noida,hatchback,manual,2,281810,251399
hyundai,2013,petrol,79800,noida,hatchback,manual,1,,220699
maruti,2012,petrol,90220,noida,sedan,manual,1,367653,290899
ford,2013,diesel,99113,noida,suv,manual,1,517356,413099
mahindra,2014,diesel,60070,noida,luxury suv,manual,1,824782,699399
nissan,2014,diesel,110471,noida,suv,manual,1,538030,469099
honda,2014,petrol,86304,noida,sedan,manual,1,391854,364599
maruti,2010,petrol,108338,noida,hatchback,manual,1,295036,230799
hyundai,2012,diesel,122256,noida,hatchback,manual,1,355277,299399
toyota,2015,petrol,168109,noida,sedan,manual,1,410291,330899
maruti,2012,diesel,186207,noida,suv,manual,1,493793,440199
volkswagen,2013,diesel,192715,noida,sedan,manual,1,443076,377799
toyota,2014,petrol,134937,noida,luxury sedan,manual,1,910742,751399
audi,2013,diesel,114155,noida,luxury suv,automatic,2,1194051,1072517
hyundai,2016,diesel,124714,noida,suv,,1,987071,818799
audi,2013,diesel,107465,noida,luxury sedan,automatic,2,1532278,1202706
toyota,2013,diesel,154297,noida,luxury suv,automatic,1,1510690,1213917
toyota,2014,diesel,214389,noida,suv,manual,1,,619299
maruti,2015,petrol & cng,158356,noida,hatchback,manual,1,,316399
maruti,2015,petrol,27191,noida,hatchback,manual,1,467108,365799
maruti,2017,petrol,15581,noida,hatchback,manual,1,270886,257699
maruti,2011,petrol,15248,noida,sedan,manual,1,313774,254299
maruti,2018,petrol,17599,noida,hatchback,manual,1,,335199
mahindra,2013,diesel,34861,noida,suv,manual,1,515799,506799
maruti,2019,petrol,9218,noida,hatchback,manual,1,585975,568299
hyundai,2019,petrol,7794,noida,hatchback,manual,1,521330,513399
datsun,2018,petrol,14537,noida,hatchback,,1,360996,277899
maruti,2013,diesel,45994,noida,hatchback,manual,1,413218,356099
hyundai,2010,petrol,55388,noida,hatchback,manual,2,240138,190499
maruti,2010,petrol,51871,noida,sedan,,1,,238199
maruti,2011,petrol,41762,noida,hatchback,manual,1,258745,239399
mahindra,2016,diesel,37219,noida,suv,automatic,1,663747,551499
hyundai,2020,petrol,11146,noida,hatchback,,1,679015,532799
honda,2014,petrol,48845,noida,sedan,manual,1,695780,530499
maruti,2019,petrol,21000,noida,,,1,399108,397699
honda,2017,petrol,37426,noida,sedan,manual,1,570501,450999
renault,2018,petrol,31537,noida,hatchback,manual,1,285382,283999
hyundai,2010,petrol,68453,noida,hatchback,manual,1,203120,174499
honda,2017,petrol & cng,28074,noida,sedan,manual,1,,791599
hyundai,2014,diesel,68235,noida,sedan,manual,2,295362,275699
maruti,2013,diesel,67411,noida,sedan,manual,1,344698,271499
maruti,2012,diesel,80671,noida,sedan,manual,1,,336099
maruti,2009,petrol,48907,noida,hatchback,manual,1,203068,189299
maruti,2015,diesel,57933,noida,suv,manual,2,,574199
hyundai,2009,petrol,86251,noida,hatchback,manual,2,241839,175299
maruti,2019,petrol & cng,50244,noida,hatchback,manual,2,381015,313399
maruti,2014,petrol & cng,70930,noida,hatchback,manual,1,282252,274799
maruti,2012,petrol & cng,83630,noida,hatchback,manual,1,219657,218899
hyundai,2018,diesel,38712,noida,sedan,automatic,1,1190183,949499
maruti,2017,diesel,39663,noida,suv,manual,1,869580,732399
hyundai,2017,diesel,38307,noida,sedan,manual,1,773687,747999
mahindra,2015,diesel,71692,noida,suv,automatic,2,715850,579599
hyundai,2019,diesel,25800,noida,sedan,,1,880826,846799
maruti,2012,diesel,89257,noida,suv,manual,1,510511,419599
hyundai,2018,petrol & cng,42277,noida,hatchback,manual,1,539287,523699
maruti,2018,diesel,28572,noida,suv,manual,1,981835,780799
ford,2018,petrol,11844,noida,suv,manual,1,844852,791199
maruti,2012,diesel,81227,noida,suv,manual,2,432822,380599
hyundai,2012,diesel,84027,noida,sedan,manual,2,292134,283299
maruti,2019,petrol,10643,noida,suv,,2,935075,877199
tata,2019,diesel,50873,noida,suv,,1,,1280577
honda,2014,diesel,74867,noida,sedan,manual,2,516724,514499
honda,2010,petrol,86619,noida,sedan,automatic,2,325340,273199
maruti,2009,petrol,89564,noida,hatchback,manual,2,229653,177099
hyundai,2014,diesel,75854,noida,sedan,manual,1,621346,488299
honda,2014,petrol,76938,noida,hatchback,manual,1,349618,273899
hyundai,2015,petrol & cng,87634,noida,hatchback,manual,1,,297599
mercedes benz,2016,diesel,19492,noida,luxury sedan,manual,2,2085889,2055348
maruti,2016,diesel,81175,noida,hatchback,manual,1,681350,538099
hyundai,2012,petrol,88696,noida,hatchback,manual,1,261543,200799
honda,2018,diesel,56926,noida,sedan,manual,1,727418,569899
maruti,2018,diesel,57860,noida,sedan,manual,1,982967,770199
mahindra,2016,diesel,99569,noida,suv,manual,1,326710,266299
honda,2009,petrol,133196,noida,sedan,,2,,201899
maruti,2017,petrol & cng,105847,noida,suv,manual,1,,280699
maruti,2009,petrol & cng,109466,noida,hatchback,manual,2,149393,105999
audi,2016,petrol,76749,noida,luxury sedan,automatic,1,2053200,1663670
maruti,2013,petrol,95093,noida,sedan,manual,1,379281,288599
mahindra,2014,diesel,82866,noida,luxury suv,manual,2,,504199
toyota,2012,petrol,118659,noida,luxury sedan,automatic,2,,444299
honda,2014,petrol,93529,noida,sedan,manual,2,541693,478899
hyundai,2017,diesel,109022,noida,suv,,1,974052,754099
hyundai,2013,petrol,93866,noida,hatchback,manual,1,293378,234299
honda,2014,diesel,110019,noida,sedan,manual,1,,282299
maruti,2014,petrol & cng,101288,noida,hatchback,manual,1,,212699
maruti,2014,petrol & cng,104448,noida,hatchback,manual,1,418624,314999
toyota,2012,diesel,169704,noida,luxury suv,manual,1,1359937,1089687
honda,2015,petrol,147944,noida,sedan,manual,2,568889,554899
hyundai,2010,petrol & cng,84568,noida,hatchback,manual,2,,135000
mahindra,2015,diesel,45412,noida,suv,manual,1,,700000
hyundai,2013,petrol,29656,noida,hatchback,manual,1,430359,339299
honda,2012,petrol,48415,noida,hatchback,manual,1,275320,199499
honda,2019,petrol,5906,noida,sedan,manual,1,593482,581299
hyundai,2014,petrol,45361,noida,hatchback,manual,1,339367,265899
maruti,2014,petrol & cng,22307,noida,hatchback,manual,1,,254999
renault,2017,petrol,29238,noida,hatchback,manual,1,388983,301499
maruti,2014,diesel,27619,noida,sedan,manual,1,609475,481099
maruti,2019,petrol,5631,noida,hatchback,manual,1,779212,602799
maruti,2018,petrol,11550,noida,hatchback,manual,1,667508,537399
maruti,2018,petrol,24883,noida,sedan,manual,1,731634,563999
renault,2016,petrol,31898,noida,hatchback,manual,1,300952,245999
datsun,2017,petrol,21259,noida,hatchback,manual,1,271963,233399
maruti,2008,petrol,50292,noida,sedan,manual,2,167036,128299
renault,2016,petrol,44946,noida,hatchback,manual,1,324451,248699
tata,2015,petrol,42878,noida,hatchback,manual,1,154745,152399
hyundai,2015,petrol,51368,noida,hatchback,manual,1,,305599
hyundai,2015,petrol,27144,noida,suv,manual,1,999716,802499
maruti,2018,petrol,28594,noida,hatchback,manual,1,786657,624399
mahindra,2018,diesel,22800,noida,suv,manual,2,977079,764399
maruti,2015,petrol,57988,noida,sedan,manual,1,486705,393799
honda,2017,petrol & cng,57086,noida,sedan,manual,2,,470799
chevrolet,2013,diesel,136954,noida,hatchback,manual,1,164999,157999
maruti,2018,diesel,52916,noida,sedan,manual,1,705613,558599
maruti,2014,diesel,72120,noida,suv,manual,1,655064,529099
maruti,2013,diesel,85174,noida,sedan,manual,1,,297499
toyota,2015,diesel,59372,noida,luxury suv,manual,1,1838519,1502599
maruti,2019,diesel,33317,noida,suv,,1,1027011,802799
toyota,2013,diesel,80307,noida,suv,manual,1,885331,691399
mahindra,2019,diesel,41908,noida,suv,manual,2,1597369,1307948
hyundai,2016,diesel,105733,noida,hatchback,manual,1,610832,469399
mahindra,2016,diesel,71231,noida,suv,,1,1012038,865499
maruti,2016,petrol & cng,74429,noida,hatchback,manual,1,325520,276299
maruti,2013,diesel,191884,noida,suv,manual,1,506291,441199
maruti,2013,diesel,64676,noida,sedan,manual,1,,280000
maruti,2012,diesel,73920,noida,hatchback,manual,3,,240000
maruti,2014,petrol,38295,noida,hatchback,manual,2,,170000
maruti,2005,petrol,58000,noida,,,2,,35
renault,2016,petrol,34501,noida,hatchback,manual,2,,210000
maruti,2012,diesel,98040,noida,hatchback,manual,1,,270000
hyundai,2005,petrol & cng,136658,noida,hatchback,manual,1,,47000
hyundai,2012,diesel,94634,noida,sedan,manual,1,,482000
chevrolet,2009,petrol,42024,noida,hatchback,manual,2,,90000
honda,2005,petrol,147503,noida,sedan,manual,2,,60000
tata,2011,diesel,120066,noida,hatchback,manual,2,,115000
hyundai,2012,diesel,98644,noida,sedan,manual,1,,375000
hyundai,2011,diesel,117782,noida,sedan,manual,2,,250000
toyota,2012,diesel,37193,noida,hatchback,manual,1,,250000
maruti,2011,petrol,34028,gurgaon,hatchback,manual,1,,184599
maruti,2017,petrol,11976,gurgaon,hatchback,manual,1,391940,323999
hyundai,2015,petrol,17181,gurgaon,hatchback,manual,1,,378699
